tick, healthy cells, infected cells, dead cells, total virus conc., total drug conc., total drug conc. transfer 
0,39985.0,15.0,0.0,0.04803677963565623,5.0,0.0
1,39985.0,15.0,0.0,0.09599387595260851,5.0,0.0
2,39985.0,15.0,0.0,0.14389041778695086,5.0,0.0
3,39985.0,15.0,0.0,0.19172309257955492,5.0,0.0
4,39985.0,15.0,0.0,0.23945181486573244,5.0,0.0
5,39985.0,15.0,0.0,0.28708889852129826,5.0,0.0
6,39985.0,15.0,0.0,0.33464489111562884,5.0,0.0
7,39985.0,15.0,0.0,0.3821430531472689,5.0,0.0
8,39985.0,15.0,0.0,0.4295291677581461,5.0,0.0
9,39985.0,15.0,0.0,0.476825181145969,5.0,0.0
10,39985.0,15.0,0.0,0.5240835757839226,5.0,0.0
11,39985.0,15.0,0.0,0.5712429188481719,5.0,0.0
12,39985.0,15.0,0.0,0.6183027921003929,5.0,0.0
13,39985.0,15.0,0.0,0.6653276491947362,5.0,0.0
14,39985.0,15.0,0.0,0.712259529456218,5.0,0.0
15,39985.0,15.0,0.0,0.759109522469895,5.0,0.0
16,39985.0,15.0,0.0,0.805875077109151,5.0,0.0
17,39985.0,15.0,0.0,0.852572339645026,5.0,0.0
18,39985.0,15.0,0.0,0.8991917354590477,5.0,0.0
19,39985.0,15.0,0.0,0.9457377071563968,5.0,0.0
20,39985.0,15.0,0.0,0.9921918427297148,5.0,0.0
21,39985.0,15.0,0.0,1.0385887167359513,5.0,0.0
22,39985.0,15.0,0.0,1.0849101312272869,5.0,0.0
23,39985.0,15.0,0.0,1.1311217887272804,5.0,0.0
24,39985.0,15.0,0.0,1.1772798824221233,5.0,0.0
25,39985.0,15.0,0.0,1.2233613209683853,5.0,0.0
26,39985.0,15.0,0.0,1.2693622787521242,5.0,0.0
27,39985.0,15.0,0.0,1.3152735726510927,5.0,0.0
28,39985.0,15.0,0.0,1.3611364653208284,5.0,0.0
29,39985.0,15.0,0.0,1.4069045396346176,5.0,0.0
30,39985.0,15.0,0.0,1.4526010520144883,5.0,0.0
31,39985.0,15.0,0.0,1.4982278240014388,5.0,0.0
32,39985.0,15.0,0.0,1.5437345797098274,5.0,0.0
33,39985.0,15.0,0.0,1.5891860183131679,5.0,0.0
34,39985.0,15.0,0.0,1.634565830769582,5.0,0.0
35,39985.0,15.0,0.0,1.6798907536433032,5.0,0.0
36,39985.0,15.0,0.0,1.7251228153271236,5.0,0.0
37,39985.0,15.0,0.0,1.7702617861254915,5.0,0.0
38,39985.0,15.0,0.0,1.8153525495613758,5.0,0.0
39,39985.0,15.0,0.0,1.8603186817328716,5.0,0.0
40,39985.0,15.0,0.0,1.9052469507995984,5.0,0.0
41,39985.0,15.0,0.0,1.9501136405094828,5.0,0.0
42,39985.0,15.0,0.0,1.9949108256528159,5.0,0.0
43,39985.0,15.0,0.0,2.0396169157503867,5.0,0.0
44,39985.0,15.0,0.0,2.0842595837334126,5.0,0.0
45,39985.0,15.0,0.0,2.128829491587702,5.0,0.0
46,39985.0,15.0,0.0,2.17331155110501,5.0,0.0
47,39985.0,15.0,0.0,2.217709682751784,5.0,0.0
48,39985.0,14.0,1.0,2.262025511555006,5.0,0.0
49,39985.0,14.0,1.0,2.3030743713764137,5.0,0.0
50,39985.0,14.0,1.0,2.344061941279196,5.0,0.0
51,39985.0,14.0,1.0,2.3849950195772682,5.0,0.0
52,39985.0,14.0,1.0,2.425839513610437,5.0,0.0
53,39985.0,14.0,1.0,2.4666369984214023,5.0,0.0
54,39985.0,14.0,1.0,2.507359615953288,5.0,0.0
55,39985.0,14.0,1.0,2.547999895650354,5.0,0.0
56,39985.0,14.0,1.0,2.588582866478193,5.0,0.0
57,39985.0,14.0,1.0,2.6291116238332335,5.0,0.0
58,39985.0,14.0,1.0,2.669581011359736,5.0,0.0
59,39985.0,14.0,1.0,2.7099660776837955,5.0,0.0
60,39985.0,14.0,1.0,2.7502946109574364,5.0,0.0
61,39985.0,14.0,1.0,2.7905777013696604,5.0,0.0
62,39985.0,14.0,1.0,2.830759306708864,5.0,0.0
63,39985.0,14.0,1.0,2.8708732017212117,5.0,0.0
64,39985.0,14.0,1.0,2.9109246209220188,5.0,0.0
65,39985.0,14.0,1.0,2.950928614493487,5.0,0.0
66,39985.0,14.0,1.0,2.9908309054106197,5.0,0.0
67,39985.0,14.0,1.0,3.0306964137458263,5.0,0.0
68,39985.0,14.0,1.0,3.0704689737631923,5.0,0.0
69,39985.0,14.0,1.0,3.1101581391638793,5.0,0.0
70,39985.0,14.0,1.0,3.1498233903294617,5.0,0.0
71,39985.0,14.0,1.0,3.1894347992145886,5.0,0.0
72,39985.0,14.0,1.0,3.2289461269767794,5.0,0.0
73,39985.0,14.0,1.0,3.268397555556402,5.0,0.0
74,39985.0,14.0,1.0,3.3077677342525456,5.0,0.0
75,39985.0,14.0,1.0,3.3470678931054723,5.0,0.0
76,39985.0,14.0,1.0,3.3863373753919728,5.0,0.0
77,39985.0,14.0,1.0,3.425491467070753,5.0,0.0
78,39985.0,14.0,1.0,3.4646117362430537,5.0,0.0
79,39985.0,14.0,1.0,3.503691225765367,5.0,0.0
80,39985.0,14.0,1.0,3.542691713922838,5.0,0.0
81,39985.0,14.0,1.0,3.5816400975653724,5.0,0.0
82,39985.0,14.0,1.0,3.6205252984249934,5.0,0.0
83,39985.0,14.0,1.0,3.6593211497423885,5.0,0.0
84,39985.0,14.0,1.0,3.698026612786335,5.0,0.0
85,39985.0,14.0,1.0,3.7366782676436596,5.0,0.0
86,39985.0,14.0,1.0,3.775282639456386,5.0,0.0
87,39985.0,14.0,1.0,3.813784544020582,5.0,0.0
88,39985.0,14.0,1.0,3.852259428627574,5.0,0.0
89,39985.0,14.0,1.0,3.8906595763294325,5.0,0.0
90,39985.0,14.0,1.0,3.9290253812367104,5.0,0.0
91,39985.0,14.0,1.0,3.967299458458729,5.0,0.0
92,39985.0,14.0,1.0,4.005484130345125,5.0,0.0
93,39985.0,14.0,1.0,4.043652486115899,5.0,0.0
94,39985.0,14.0,1.0,4.081752846906628,5.0,0.0
95,39985.0,14.0,1.0,4.119769001399653,5.0,0.0
96,39985.0,14.0,1.0,4.157713905396948,5.0,0.0
97,39985.0,14.0,1.0,4.195612306134723,5.0,0.0
98,39985.0,14.0,1.0,4.233480259665368,5.0,0.0
99,39985.0,14.0,1.0,4.271281709376044,5.0,0.0
100,39985.0,14.0,1.0,4.3089791384379,5.0,0.0
101,39985.0,14.0,1.0,4.346603084261403,5.0,0.0
102,39985.0,14.0,1.0,4.384203903378007,5.0,0.0
103,39985.0,14.0,1.0,4.421674183555475,5.0,0.0
104,39985.0,14.0,1.0,4.459126904481947,5.0,0.0
105,39985.0,14.0,1.0,4.4965084706675515,5.0,0.0
106,39985.0,14.0,1.0,4.533816014029978,5.0,0.0
107,39985.0,14.0,1.0,4.571055218170282,5.0,0.0
108,39985.0,14.0,1.0,4.608274078892617,5.0,0.0
109,39985.0,14.0,1.0,4.645418104845247,5.0,0.0
110,39985.0,14.0,1.0,4.68251010736113,5.0,0.0
111,39985.0,14.0,1.0,4.71950150764833,5.0,0.0
112,39985.0,14.0,1.0,4.75647513557396,5.0,0.0
113,39985.0,14.0,1.0,4.793384802635214,5.0,0.0
114,39985.0,14.0,1.0,4.830242035252556,5.0,0.0
115,39985.0,14.0,1.0,4.867003509245126,5.0,0.0
116,39985.0,14.0,1.0,4.90372956995764,5.0,0.0
117,39985.0,14.0,1.0,4.9404201553366125,5.0,0.0
118,39985.0,14.0,1.0,4.977022303305622,5.0,0.0
119,39985.0,14.0,1.0,5.013551194760077,5.0,0.0
120,39985.0,14.0,1.0,5.050028319610944,5.0,0.0
121,39985.0,14.0,1.0,5.086432578534334,5.0,0.0
122,39985.0,14.0,1.0,5.1227819274658675,5.0,0.0
123,39985.0,14.0,1.0,5.159085475049939,5.0,0.0
124,39985.0,14.0,1.0,5.195323555776455,5.0,0.0
125,39985.0,14.0,1.0,5.231482883664829,5.0,0.0
126,39985.0,14.0,1.0,5.267602256114083,5.0,0.0
127,39985.0,14.0,1.0,5.303653049834173,5.0,0.0
128,39985.0,14.0,1.0,5.33963731175393,5.0,0.0
129,39985.0,14.0,1.0,5.375583107802088,5.0,0.0
130,39985.0,14.0,1.0,5.411429617564227,5.0,0.0
131,39985.0,14.0,1.0,5.447265795461389,5.0,0.0
132,39985.0,14.0,1.0,5.483005691138831,5.0,0.0
133,39985.0,14.0,1.0,5.518673434554674,5.0,0.0
134,39985.0,14.0,1.0,5.554289382985052,5.0,0.0
135,39985.0,14.0,1.0,5.589861390833191,5.0,0.0
136,39985.0,14.0,1.0,5.625327302317551,5.0,0.0
137,39985.0,14.0,1.0,5.6608110270034775,5.0,0.0
138,39985.0,14.0,1.0,5.6961925688354125,5.0,0.0
139,39985.0,13.0,2.0,5.731531632719042,5.0,0.0
140,39985.0,13.0,2.0,5.763597761662462,5.0,0.0
141,39985.0,13.0,2.0,5.7956009472186425,5.0,0.0
142,39985.0,13.0,2.0,5.827547616841804,5.0,0.0
143,39985.0,13.0,2.0,5.8594704011539225,5.0,0.0
144,39985.0,13.0,2.0,5.891320730398106,5.0,0.0
145,39985.0,13.0,2.0,5.923143703685123,5.0,0.0
146,39985.0,13.0,2.0,5.954880453260313,5.0,0.0
147,39985.0,13.0,2.0,5.986551398570535,5.0,0.0
148,39985.0,13.0,2.0,6.0181845704565005,5.0,0.0
149,39985.0,13.0,2.0,6.049776601815601,5.0,0.0
150,39985.0,13.0,2.0,6.081283774854957,5.0,0.0
151,39985.0,13.0,2.0,6.1127433496799775,5.0,0.0
152,39985.0,13.0,2.0,6.1441829160952945,5.0,0.0
153,39985.0,13.0,2.0,6.175576195869914,5.0,0.0
154,39985.0,13.0,2.0,6.206894525065175,5.0,0.0
155,39985.0,13.0,2.0,6.238154976422725,5.0,0.0
156,39985.0,13.0,2.0,6.2693638466179245,5.0,0.0
157,39985.0,13.0,2.0,6.300539451590077,5.0,0.0
158,39985.0,13.0,2.0,6.331685976676888,5.0,0.0
159,39985.0,13.0,2.0,6.362749770650409,5.0,0.0
160,39985.0,13.0,2.0,6.393776767767266,5.0,0.0
161,39985.0,13.0,2.0,6.42472834983158,5.0,0.0
162,39985.0,13.0,2.0,6.45563180525904,5.0,0.0
163,39985.0,13.0,2.0,6.48648818732225,5.0,0.0
164,39985.0,13.0,2.0,6.5172971854296815,5.0,0.0
165,39985.0,13.0,2.0,6.548027938801615,5.0,0.0
166,39985.0,13.0,2.0,6.578741609193953,5.0,0.0
167,39985.0,13.0,2.0,6.609410481863811,5.0,0.0
168,39985.0,13.0,2.0,6.640028550891218,5.0,0.0
169,39985.0,13.0,2.0,6.670588909470182,5.0,0.0
170,39985.0,13.0,2.0,6.7010989770751745,5.0,0.0
171,39985.0,13.0,2.0,6.731533366419538,5.0,0.0
172,39985.0,13.0,2.0,6.7619157683748465,5.0,0.0
173,39985.0,13.0,2.0,6.792252371594885,5.0,0.0
174,39985.0,13.0,2.0,6.822550361353336,5.0,0.0
175,39985.0,13.0,2.0,6.852810921261203,5.0,0.0
176,39985.0,13.0,2.0,6.882993635510291,5.0,0.0
177,39985.0,13.0,2.0,6.913116015298233,5.0,0.0
178,39985.0,13.0,2.0,6.943209293619881,5.0,0.0
179,39985.0,13.0,2.0,6.973263017439427,5.0,0.0
180,39985.0,13.0,2.0,7.003232941279299,5.0,0.0
