tick, healthy cells, infected cells, dead cells, total virus conc., total drug conc., total drug conc. transfer 
0,39985.0,15.0,0.0,0.05619933255750573,0.0,0.0
1,39985.0,15.0,0.0,0.11239866511500035,0.0,0.0
2,39985.0,15.0,0.0,0.16859799767229872,0.0,0.0
3,39985.0,15.0,0.0,0.22479733022999493,0.0,0.0
4,39985.0,15.0,0.0,0.2809966627875112,0.0,0.0
5,39985.0,15.0,0.0,0.337195995344618,0.0,0.0
6,39985.0,15.0,0.0,0.39339532790239945,0.0,0.0
7,39985.0,15.0,0.0,0.44959466045997803,0.0,0.0
8,39985.0,15.0,0.0,0.5057939930173151,0.0,0.0
9,39985.0,15.0,0.0,0.5619933255749888,0.0,0.0
10,39985.0,15.0,0.0,0.6181926581319832,0.0,0.0
11,39985.0,15.0,0.0,0.6743919906893036,0.0,0.0
12,39984.0,16.0,0.0,0.7305913232469435,0.0,0.0
13,39984.0,16.0,0.0,0.790510655804772,0.0,0.0
14,39984.0,16.0,0.0,0.8504299883625102,0.0,0.0
15,39984.0,16.0,0.0,0.9103493209198942,0.0,0.0
16,39984.0,16.0,0.0,0.9702686534764048,0.0,0.0
17,39984.0,16.0,0.0,1.0301879860346292,0.0,0.0
18,39984.0,16.0,0.0,1.0901073185922039,0.0,0.0
19,39984.0,16.0,0.0,1.1500266511499273,0.0,0.0
20,39984.0,16.0,0.0,1.2099459837064586,0.0,0.0
21,39984.0,16.0,0.0,1.2698653162639786,0.0,0.0
22,39984.0,16.0,0.0,1.3297846488216793,0.0,0.0
23,39984.0,16.0,0.0,1.389703981378753,0.0,0.0
24,39984.0,16.0,0.0,1.4496233139364725,0.0,0.0
25,39984.0,16.0,0.0,1.5095426464939774,0.0,0.0
26,39984.0,16.0,0.0,1.5694619790517113,0.0,0.0
27,39984.0,16.0,0.0,1.629381311609379,0.0,0.0
28,39984.0,16.0,0.0,1.6893006441670713,0.0,0.0
29,39984.0,16.0,0.0,1.7492199767247016,0.0,0.0
30,39984.0,16.0,0.0,1.8091393092820327,0.0,0.0
31,39984.0,16.0,0.0,1.869058641839679,0.0,0.0
32,39984.0,16.0,0.0,1.9289779743973157,0.0,0.0
33,39984.0,16.0,0.0,1.988897306953254,0.0,0.0
34,39984.0,16.0,0.0,2.0488166395108744,0.0,0.0
35,39984.0,16.0,0.0,2.1087359720692604,0.0,0.0
36,39984.0,16.0,0.0,2.168655304625788,0.0,0.0
37,39984.0,16.0,0.0,2.228574637184328,0.0,0.0
38,39984.0,16.0,0.0,2.2884939697410136,0.0,0.0
39,39984.0,16.0,0.0,2.348413302299598,0.0,0.0
40,39984.0,16.0,0.0,2.4083326348563623,0.0,0.0
41,39984.0,16.0,0.0,2.4682519674131163,0.0,0.0
42,39984.0,16.0,0.0,2.52817129997156,0.0,0.0
43,39984.0,16.0,0.0,2.588090632528154,0.0,0.0
44,39984.0,16.0,0.0,2.648009965086635,0.0,0.0
45,39984.0,16.0,0.0,2.707929297643336,0.0,0.0
46,39984.0,16.0,0.0,2.767848630201315,0.0,0.0
47,39984.0,16.0,0.0,2.827767962757997,0.0,0.0
48,39984.0,15.0,1.0,2.88768729531639,0.0,0.0
49,39984.0,15.0,1.0,2.9438866278731854,0.0,0.0
50,39984.0,15.0,1.0,3.000085960431478,0.0,0.0
51,39984.0,15.0,1.0,3.0562852929881092,0.0,0.0
52,39984.0,15.0,1.0,3.1124846255466134,0.0,0.0
53,39984.0,15.0,1.0,3.168683958103372,0.0,0.0
54,39984.0,15.0,1.0,3.2248832906603044,0.0,0.0
55,39984.0,15.0,1.0,3.281082623218531,0.0,0.0
56,39984.0,15.0,1.0,3.337281955775193,0.0,0.0
57,39984.0,15.0,1.0,3.393481288333618,0.0,0.0
58,39983.0,16.0,1.0,3.449680620890291,0.0,0.0
59,39983.0,16.0,1.0,3.509599953448726,0.0,0.0
60,39983.0,16.0,1.0,3.5695192860051734,0.0,0.0
61,39983.0,16.0,1.0,3.6294386185636363,0.0,0.0
62,39983.0,16.0,1.0,3.6893579511202703,0.0,0.0
63,39983.0,16.0,1.0,3.7492772836785937,0.0,0.0
64,39983.0,16.0,1.0,3.8091966162353557,0.0,0.0
65,39983.0,16.0,1.0,3.8691159487937323,0.0,0.0
66,39983.0,16.0,1.0,3.9290352813504374,0.0,0.0
67,39983.0,16.0,1.0,3.988954613907463,0.0,0.0
68,39983.0,16.0,1.0,4.048873946465507,0.0,0.0
69,39983.0,16.0,1.0,4.108793279022386,0.0,0.0
70,39983.0,16.0,1.0,4.168712611579797,0.0,0.0
71,39983.0,16.0,1.0,4.22863194413817,0.0,0.0
72,39983.0,16.0,1.0,4.288551276695552,0.0,0.0
73,39983.0,16.0,1.0,4.348470609252392,0.0,0.0
74,39983.0,16.0,1.0,4.408389941809849,0.0,0.0
75,39983.0,16.0,1.0,4.468309274368227,0.0,0.0
76,39983.0,16.0,1.0,4.5282286069256115,0.0,0.0
77,39983.0,16.0,1.0,4.588147939482373,0.0,0.0
78,39983.0,16.0,1.0,4.648067272039895,0.0,0.0
79,39983.0,16.0,1.0,4.707986604598256,0.0,0.0
80,39983.0,16.0,1.0,4.767905937155328,0.0,0.0
81,39983.0,16.0,1.0,4.827825269712557,0.0,0.0
82,39983.0,16.0,1.0,4.8877446022696605,0.0,0.0
83,39983.0,16.0,1.0,4.947663934827034,0.0,0.0
84,39983.0,16.0,1.0,5.007583267385232,0.0,0.0
85,39983.0,16.0,1.0,5.06750259994254,0.0,0.0
86,39983.0,16.0,1.0,5.127421932499554,0.0,0.0
87,39983.0,16.0,1.0,5.187341265057053,0.0,0.0
88,39983.0,16.0,1.0,5.247260597615257,0.0,0.0
89,39983.0,16.0,1.0,5.307179930172573,0.0,0.0
90,39983.0,16.0,1.0,5.3670992627295,0.0,0.0
91,39983.0,16.0,1.0,5.427018595286983,0.0,0.0
92,39983.0,16.0,1.0,5.486937927845082,0.0,0.0
93,39983.0,16.0,1.0,5.546857260402466,0.0,0.0
94,39983.0,16.0,1.0,5.606776592959619,0.0,0.0
95,39983.0,16.0,1.0,5.66669592551683,0.0,0.0
96,39983.0,16.0,1.0,5.7266152580743475,0.0,0.0
97,39983.0,16.0,1.0,5.786534590632186,0.0,0.0
98,39983.0,16.0,1.0,5.846453923189474,0.0,0.0
99,39983.0,16.0,1.0,5.906373255746788,0.0,0.0
100,39983.0,16.0,1.0,5.96629258830431,0.0,0.0
101,39983.0,16.0,1.0,6.026211920862273,0.0,0.0
102,39983.0,16.0,1.0,6.08613125341951,0.0,0.0
103,39983.0,16.0,1.0,6.1460505859767665,0.0,0.0
104,39983.0,16.0,1.0,6.205969918534117,0.0,0.0
105,39983.0,16.0,1.0,6.265889251092062,0.0,0.0
106,39983.0,16.0,1.0,6.325808583649494,0.0,0.0
107,39983.0,16.0,1.0,6.385727916206764,0.0,0.0
108,39983.0,16.0,1.0,6.445647248764077,0.0,0.0
109,39983.0,16.0,1.0,6.5055665813216175,0.0,0.0
110,39983.0,16.0,1.0,6.56548591387933,0.0,0.0
111,39983.0,16.0,1.0,6.625405246436601,0.0,0.0
112,39983.0,16.0,1.0,6.6853245789939795,0.0,0.0
113,39983.0,16.0,1.0,6.745243911551505,0.0,0.0
