tick, healthy cells, infected cells, dead cells, total virus conc., total drug conc., total drug conc. transfer 
0,39985.0,15.0,0.0,0.05580000000000001,0.0,0.0
1,39985.0,15.0,0.0,0.11150681400000002,0.0,0.0
2,39985.0,15.0,0.0,0.16712059762062006,0.0,0.0
3,39985.0,15.0,0.0,0.2226415062225935,0.0,0.0
4,39985.0,15.0,0.0,0.2780696949072019,0.0,0.0
5,39985.0,15.0,0.0,0.33340531851670685,0.0,0.0
6,39985.0,15.0,0.0,0.38864853163478397,0.0,0.0
7,39985.0,15.0,0.0,0.44379948858695384,0.0,0.0
8,39985.0,15.0,0.0,0.4988583434410137,0.0,0.0
9,39985.0,15.0,0.0,0.5538252500074673,0.0,0.0
10,39985.0,15.0,0.0,0.6087003618399549,0.0,0.0
11,39985.0,15.0,0.0,0.6634838322356822,0.0,0.0
12,39985.0,15.0,0.0,0.7181758142358485,0.0,0.0
13,39985.0,15.0,0.0,0.772776460626075,0.0,0.0
14,39985.0,15.0,0.0,0.8272859239368291,0.0,0.0
15,39985.0,15.0,0.0,0.8817043564438547,0.0,0.0
16,39985.0,15.0,0.0,0.9360319101685931,0.0,0.0
17,39985.0,15.0,0.0,0.9902687368786115,0.0,0.0
18,39985.0,14.0,1.0,1.0444149880880247,0.0,0.0
19,39985.0,14.0,1.0,1.0947508150579175,0.0,0.0
20,39985.0,14.0,1.0,1.145002581196771,0.0,0.0
21,39985.0,14.0,1.0,1.1951704268861723,0.0,0.0
22,39985.0,13.0,2.0,1.245254492273272,0.0,0.0
23,39985.0,13.0,2.0,1.2915349172711759,0.0,0.0
24,39985.0,13.0,2.0,1.3377380539593327,0.0,0.0
25,39985.0,13.0,2.0,1.3838640314092212,0.0,0.0
26,39985.0,13.0,2.0,1.4299129784767675,0.0,0.0
27,39985.0,13.0,2.0,1.4758850238027108,0.0,0.0
28,39985.0,13.0,2.0,1.5217802958129603,0.0,0.0
29,39985.0,13.0,2.0,1.5675989227189533,0.0,0.0
30,39985.0,13.0,2.0,1.6133410325180124,0.0,0.0
31,39985.0,12.0,3.0,1.659006752993708,0.0,0.0
32,39985.0,12.0,3.0,1.7008762117162077,0.0,0.0
33,39985.0,12.0,3.0,1.7426757484426418,0.0,0.0
34,39985.0,12.0,3.0,1.7844054799427425,0.0,0.0
35,39985.0,10.0,5.0,1.8260655227912377,0.0,0.0
36,39985.0,9.0,6.0,1.8602159933681763,0.0,0.0
37,39985.0,9.0,6.0,1.890589432659252,0.0,0.0
38,39985.0,9.0,6.0,1.920912148306711,0.0,0.0
39,39985.0,8.0,7.0,1.9511842250190385,0.0,0.0
40,39985.0,8.0,7.0,1.9776857473632574,0.0,0.0
41,39985.0,8.0,7.0,2.0041430121651604,0.0,0.0
42,39985.0,8.0,7.0,2.030556093334845,0.0,0.0
43,39985.0,7.0,8.0,2.056925064658975,0.0,0.0
44,39985.0,7.0,8.0,2.0795299998009944,0.0,0.0
45,39985.0,7.0,8.0,2.1020971847013272,0.0,0.0
46,39985.0,7.0,8.0,2.124626682402876,0.0,0.0
47,39985.0,7.0,8.0,2.1471185558432633,0.0,0.0
48,39985.0,7.0,8.0,2.1695728678550052,0.0,0.0
49,39985.0,7.0,8.0,2.1919896811656874,0.0,0.0
50,39985.0,6.0,9.0,2.2143690583981406,0.0,0.0
51,39985.0,6.0,9.0,2.232991062070616,0.0,0.0
52,39985.0,6.0,9.0,2.2515819669969575,0.0,0.0
53,39985.0,6.0,9.0,2.2701418251120726,0.0,0.0
54,39985.0,6.0,9.0,2.288670688264135,0.0,0.0
55,39985.0,6.0,9.0,2.3071686082147345,0.0,0.0
56,39985.0,6.0,9.0,2.3256356366390163,0.0,0.0
57,39985.0,6.0,9.0,2.3440718251258286,0.0,0.0
58,39985.0,6.0,9.0,2.362477225177868,0.0,0.0
59,39985.0,6.0,9.0,2.3808518882118213,0.0,0.0
60,39985.0,6.0,9.0,2.399195865558507,0.0,0.0
61,39985.0,6.0,9.0,2.417509208463025,0.0,0.0
62,39985.0,6.0,9.0,2.435791968084891,0.0,0.0
63,39985.0,6.0,9.0,2.4540441954981898,0.0,0.0
64,39985.0,6.0,9.0,2.4722659416917083,0.0,0.0
65,39985.0,6.0,9.0,2.490457257569083,0.0,0.0
66,39985.0,6.0,9.0,2.5086181939489425,0.0,0.0
67,39985.0,6.0,9.0,2.526748801565048,0.0,0.0
68,39985.0,6.0,9.0,2.5448491310664343,0.0,0.0
69,39985.0,6.0,9.0,2.5629192330175536,0.0,0.0
70,39985.0,5.0,10.0,2.5809591578984135,0.0,0.0
71,39985.0,5.0,10.0,2.595248956104723,0.0,0.0
72,39985.0,5.0,10.0,2.6095148903480285,0.0,0.0
73,39985.0,5.0,10.0,2.6237570004811475,0.0,0.0
74,39985.0,5.0,10.0,2.6379753262903445,0.0,0.0
75,39985.0,5.0,10.0,2.652169907495439,0.0,0.0
76,39985.0,5.0,10.0,2.6663407837499213,0.0,0.0
77,39985.0,4.0,11.0,2.680487994641059,0.0,0.0
78,39985.0,4.0,11.0,2.6908915796900095,0.0,0.0
79,39985.0,4.0,11.0,2.7012777907519268,0.0,0.0
80,39985.0,4.0,11.0,2.711646656841371,0.0,0.0
81,39985.0,4.0,11.0,2.7219982069244457,0.0,0.0
82,39985.0,4.0,11.0,2.7323324699188825,0.0,0.0
83,39985.0,4.0,11.0,2.7426494746941175,0.0,0.0
84,39985.0,4.0,11.0,2.752949250071379,0.0,0.0
85,39985.0,4.0,11.0,2.7632318248237593,0.0,0.0
86,39985.0,4.0,11.0,2.7734972276763035,0.0,0.0
87,39985.0,4.0,11.0,2.783745487306085,0.0,0.0
88,39985.0,4.0,11.0,2.7939766323422823,0.0,0.0
89,39985.0,4.0,11.0,2.8041906913662706,0.0,0.0
90,39985.0,4.0,11.0,2.8143876929116893,0.0,0.0
91,39985.0,4.0,11.0,2.8245676654645275,0.0,0.0
92,39985.0,4.0,11.0,2.8347306374632013,0.0,0.0
93,39985.0,4.0,11.0,2.8448766372986376,0.0,0.0
94,39985.0,4.0,11.0,2.8550056933143484,0.0,0.0
95,39985.0,4.0,11.0,2.8651178338065137,0.0,0.0
96,39985.0,4.0,11.0,2.875213087024057,0.0,0.0
97,39985.0,4.0,11.0,2.8852914811687262,0.0,0.0
98,39985.0,4.0,11.0,2.8953530443951747,0.0,0.0
99,39985.0,4.0,11.0,2.905397804811034,0.0,0.0
100,39985.0,4.0,11.0,2.915425790477001,0.0,0.0
101,39985.0,4.0,11.0,2.9254370294069036,0.0,0.0
102,39985.0,4.0,11.0,2.9354315495677943,0.0,0.0
103,39985.0,4.0,11.0,2.945409378880016,0.0,0.0
104,39985.0,4.0,11.0,2.9553705452172863,0.0,0.0
105,39985.0,4.0,11.0,2.9653150764067737,0.0,0.0
106,39985.0,4.0,11.0,2.975243000229174,0.0,0.0
107,39985.0,4.0,11.0,2.985154344418792,0.0,0.0
108,39985.0,4.0,11.0,2.9950491366636123,0.0,0.0
109,39985.0,4.0,11.0,3.0049274046053838,0.0,0.0
110,39985.0,4.0,11.0,3.0147891758396925,0.0,0.0
111,39985.0,4.0,11.0,3.02463447791604,0.0,0.0
112,39985.0,4.0,11.0,3.034463338337921,0.0,0.0
113,39985.0,4.0,11.0,3.0442757845628963,0.0,0.0
