tick, healthy cells, infected cells, dead cells, total virus conc., total drug conc., total drug conc. transfer 
0,39985.0,15.0,0.0,0.04804664677579164,5.0,0.0
1,39985.0,15.0,0.0,0.0960182197324866,5.0,0.0
2,39985.0,15.0,0.0,0.14388031497971615,5.0,0.0
3,39985.0,15.0,0.0,0.19166905671612255,5.0,0.0
4,39985.0,15.0,0.0,0.2393898299042715,5.0,0.0
5,39985.0,15.0,0.0,0.28705239859007037,5.0,0.0
6,39985.0,15.0,0.0,0.33459823397556054,5.0,0.0
7,39985.0,15.0,0.0,0.38206933321065223,5.0,0.0
8,39985.0,15.0,0.0,0.4294384451483995,5.0,0.0
9,39985.0,15.0,0.0,0.47676146759615523,5.0,0.0
10,39985.0,15.0,0.0,0.5239599928740037,5.0,0.0
11,39985.0,15.0,0.0,0.5711053892124596,5.0,0.0
12,39985.0,15.0,0.0,0.6181632079797894,5.0,0.0
13,39985.0,15.0,0.0,0.665201103809067,5.0,0.0
14,39985.0,15.0,0.0,0.7121581584765857,5.0,0.0
15,39985.0,15.0,0.0,0.7590102022280968,5.0,0.0
16,39985.0,15.0,0.0,0.8057790613279772,5.0,0.0
17,39985.0,15.0,0.0,0.8524734607136494,5.0,0.0
18,39985.0,15.0,0.0,0.8991019225984557,5.0,0.0
19,39985.0,15.0,0.0,0.945660390460288,5.0,0.0
20,39985.0,15.0,0.0,0.9921317076961327,5.0,0.0
21,39985.0,15.0,0.0,1.0385198150284483,5.0,0.0
22,39985.0,15.0,0.0,1.084807474181441,5.0,0.0
23,39985.0,15.0,0.0,1.1310169214902506,5.0,0.0
24,39985.0,15.0,0.0,1.1771683595552467,5.0,0.0
25,39985.0,15.0,0.0,1.2232259006903987,5.0,0.0
26,39985.0,15.0,0.0,1.2692246295069867,5.0,0.0
27,39985.0,15.0,0.0,1.3151202022252384,5.0,0.0
28,39985.0,15.0,0.0,1.3610006524791758,5.0,0.0
29,39985.0,15.0,0.0,1.4067603264599902,5.0,0.0
30,39985.0,15.0,0.0,1.4524447904119218,5.0,0.0
31,39985.0,15.0,0.0,1.4980683587548913,5.0,0.0
32,39985.0,15.0,0.0,1.5435982131779606,5.0,0.0
33,39985.0,15.0,0.0,1.589061110767753,5.0,0.0
34,39985.0,15.0,0.0,1.634466811684558,5.0,0.0
35,39985.0,15.0,0.0,1.6797854450727416,5.0,0.0
36,39985.0,15.0,0.0,1.7250155510881784,5.0,0.0
37,39985.0,15.0,0.0,1.7701572260689566,5.0,0.0
38,39985.0,15.0,0.0,1.815209483697588,5.0,0.0
39,39985.0,15.0,0.0,1.8602278859616728,5.0,0.0
40,39985.0,15.0,0.0,1.9051685953356428,5.0,0.0
41,39985.0,15.0,0.0,1.9500347164540164,5.0,0.0
42,39985.0,15.0,0.0,1.9948490556285818,5.0,0.0
